station_id,station_name,region_id,region_name,lat,lon,station_elevation,data,tmax_m,tmax_max,tmax_min,tmin_m,tmin_min,tmin_max,ntmin_0,rrr24,sshn,tm_m,t_03_m,t_09_m,t_15_m
40716,Mianeh,OITT,Azarbayjan-e-Sharghi,37.421,47.732,1110,3/1/2007 12:00:00 AM,12.0194,17.6,6.2,1.31613,-3.8,8.6,13,19.31,161.5,6.66774,2.38065,9.26452,9.25806
40713,Maragheh-synoptic,OITT,Azarbayjan-e-Sharghi,37.348,46.146,1344,1/1/2007 12:00:00 AM,0.813333,8.2,-7,-8.6,-20.6,1,24,12.15,112.8,-4.09583,-6.44516,-1.12903,-3.03226
40713,Maragheh-synoptic,OITT,Azarbayjan-e-Sharghi,37.348,46.146,1344,2/1/2007 12:00:00 AM,7.17143,14.6,2.4,-1.82143,-5.8,1.4,22,34.86,154.1,2.675,-0.714286,5.04286,3.76429
40713,Maragheh-synoptic,OITT,Azarbayjan-e-Sharghi,37.348,46.146,1344,3/1/2007 12:00:00 AM,10.7097,15.6,4.6,1.04516,-4.6,6.6,7,32.54,190.9,5.87742,1.64516,8.5871,8.2129
40706,Tabriz,OITT,Azarbayjan-e-Sharghi,38.122,46.234,1361,1/1/2007 12:00:00 AM,1.22581,7.6,-4.2,-9.85484,-16.2,0.4,30,11.46,151.6,-4.3129,-7.47419,-1.21935,-4.05161
40706,Tabriz,OITT,Azarbayjan-e-Sharghi,38.122,46.234,1361,2/1/2007 12:00:00 AM,7.17857,13.8,1.4,-2.94286,-8.6,1.4,26,1.62,146.6,2.11786,-1.74286,4.27143,3.5
40706,Tabriz,OITT,Azarbayjan-e-Sharghi,38.122,46.234,1361,3/1/2007 12:00:00 AM,10.2065,16.4,1.6,0.483871,-7,7.4,14,53.91,163.8,5.34516,1.15806,8.01935,7.22258
40708,Ardebil,OITL,Ardebil,38.219,48.329,1335.2,4/1/2007 12:00:00 AM,12.4867,20.8,5.2,2.68,-4,9,5,86.53,136.6,7.58333,3.84667,10.1467,8.17333
40708,Ardebil,OITL,Ardebil,38.219,48.329,1335.2,5/1/2007 12:00:00 AM,22.7613,32.2,11.6,7.61935,0,14.8,1,18.82,257.8,15.1903,9.01935,20.3742,17.3419
40708,Ardebil,OITL,Ardebil,38.219,48.329,1335.2,6/1/2007 12:00:00 AM,23.8,30.6,17,10.8867,8,14.2,0,25.35,294.9,17.3433,12.42,22.6933,18.7533
40705,Meshkinshahr,OITL,Ardebil,38.35,47.46,1560.6,4/1/2007 12:00:00 AM,10.4933,17.4,2,2.2,-3.4,8,5,63.92,125.3,6.34667,3.82,7.89333,7.96
40705,Meshkinshahr,OITL,Ardebil,38.35,47.46,1560.6,5/1/2007 12:00:00 AM,21.2968,30,10.2,10.6258,5.4,18.2,0,25.51,222.2,15.9613,11.8387,18.1742,17.9742
40705,Meshkinshahr,OITL,Ardebil,38.35,47.46,1560.6,6/1/2007 12:00:00 AM,23.4333,27.4,17,13.42,10,16,0,55.51,239.7,18.4267,14.3267,20.3133,21.1067
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,4/1/2007 12:00:00 AM,12.3667,18,5,2.25333,-5.6,8.2,7,150.72,164.8,7.31,3.64,9.92667,9.12667
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,5/1/2007 12:00:00 AM,20.3871,27.2,8.4,5.98065,0.2,11,0,56.1,268.1,13.1839,8.07742,18.4452,16.3742
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,6/1/2007 12:00:00 AM,22.9467,30,15.4,10.9467,5,17,0,35.2,337.5,16.9467,12.6267,21.1733,19.2533
88107,Ardebil (Airport),OITL,Ardebil,38.33,48.417,1314.3,4/1/2007 12:00:00 AM,12.36,21.6,4,1.46667,-7.2,10.2,9,71.53,142.7,6.91333,2.64667,10.18,7.5
88107,Ardebil (Airport),OITL,Ardebil,38.33,48.417,1314.3,5/1/2007 12:00:00 AM,21.9871,29.8,10.6,4.99355,-1.4,12.8,4,14.91,272.4,13.4903,7.50323,19.9548,16.7548
88107,Ardebil (Airport),OITL,Ardebil,38.33,48.417,1314.3,6/1/2007 12:00:00 AM,22.9,31.4,15.2,9.51333,4.4,13.2,0,6.34,291.7,16.2067,11.56,21.6733,18.1933
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,4/1/2007 12:00:00 AM,16.16,23.6,10.4,7.22,2.2,10.6,0,44.81,122.1,11.69,7.92667,14.1467,13.9933
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,5/1/2007 12:00:00 AM,27.529,35.4,17.2,13.4065,7.8,20.8,0,6.01,240.1,20.4677,14.8258,24.6065,23.9871
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,6/1/2007 12:00:00 AM,31.4467,37,25,18.1067,15.6,21,0,39.4,291.5,24.7767,19.62,28.76,28.72
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,4/1/2007 12:00:00 AM,15.3267,20.4,9.8,5.58,0,11.4,1,128.63,178.9,10.4533,6.72667,12.6333,11.82
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,5/1/2007 12:00:00 AM,24.9548,32,18,11.4645,4.2,17,0,18.83,234.8,18.2097,12.6968,22.4968,21.8258
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,6/1/2007 12:00:00 AM,29.92,32.4,26.6,14.7467,10.8,21,0,0.3,357.3,22.3333,17.0667,27.2733,27.8733
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,4/1/2007 12:00:00 AM,11.5633,16.5,6.2,3.54667,0.2,8.8,0,72.46,131.5,7.55333,4.61333,9.18,9.18667
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,5/1/2007 12:00:00 AM,21.7871,28.5,14,11.2,5.4,15.4,0,58.44,221.1,16.5,12.1226,19.6516,18.8645
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,6/1/2007 12:00:00 AM,26.0433,29.5,21,14.0333,10.8,19.8,0,28.95,286.6,20.0433,15.1467,22.9933,23.7133
