ds,precip,SPI_1,SPI_3,SPI_6,SPI_9,SPI_12,SPI_24,station_id
2002-12-01,33.74,0.622206988942592,0.1511497974182055,-1.1539601136566364,-0.02087075684416944,0.4292275977817138,-0.5354593108425694,40712
2003-01-01,6.34,-0.47179714400916983,0.20019183343154806,-1.0264219910936798,-1.3249796124220012,0.025427792499303766,-0.6787424533871469,40712
2003-02-01,24.15,0.3493253611698174,0.11007172174608595,-0.592201702134547,-1.8886960107078794,0.06754292970626927,-0.6353103611331847,40712
2003-03-01,80.47,1.5167807385614058,0.7063713206077122,0.46344620526982655,-0.5357015408070835,0.32704860916150025,-0.2682519442390563,40712
2003-04-01,73.13,1.4026703485938055,1.3210275950474621,1.1442160214107038,0.3668863960110012,0.07090617294957914,0.06844505053241681,40712
2003-05-01,9.06,-0.28776457869914246,1.1969782839576488,0.9542195235479332,0.4660331146363148,-0.4532579656798902,-0.025918610150625652,40712
2003-06-01,9.45,-0.2645473089209761,0.48502550651203,0.7206866496784337,0.5670480941343902,-0.3430451729659144,0.024872083575917067,40712
2003-07-01,0.01,-1.6130920480039965,-0.9229280334564133,0.6568649171164869,0.535023382162009,-0.3446282250511946,0.020796915254571113,40712
2003-08-01,0.04,-1.5633441436771536,-1.35100717645836,0.4006170120339448,0.20176955273772623,-0.34414107728259524,0.021000737145374662,40712
2003-09-01,0.01,-1.6130920480039965,-2.8316857664057555,-0.6873881805075414,-0.20704718561968014,-0.3440192979555586,0.02018540946641117,40712
2003-10-01,27.82,0.4607236780472925,-0.6227538443381008,-1.6527600017953994,0.05810621966095331,-0.05101646305900698,0.15994204872071943,40712
2003-11-01,38.35,0.7359573297776679,0.13996268812124546,-0.9787234205762575,0.2241775730432624,0.04224791244147243,0.19129373056658924,40712
2003-12-01,27.17,0.441708240525623,0.5056618093430156,-0.6586280849008055,-0.4390789070903455,-0.03234025685271918,0.17951369064911957,40712
2004-01-01,25.66,0.3963858578136947,0.4793983614107651,-0.26300899039904996,-1.1504951040197267,0.1839683347281352,0.060348921407706695,40712
2004-02-01,27.23,0.4434755647239004,0.3372516519666402,0.09709622540734383,-0.8607615483661387,0.2176290977434777,0.10622297052245379,40712
2004-03-01,15.24,0.02327986896629208,0.16926346173858417,0.2793926574367309,-0.7733695128492253,-0.5481102496593188,-0.17832444511332118,40712
2004-04-01,54.89,1.085502238437696,0.5534983092717305,0.5770768982549327,-0.03526726824852962,-0.7857767398432727,-0.4780807373641317,40712
2004-05-01,94.78,1.7227112163667624,1.215917059781011,1.117751183838642,0.9863335012059062,0.2420823322596087,-0.18085133335737744,40712
2004-06-01,3.12,-0.7779200781080496,1.1119030659547882,0.8983837156329086,1.0161483038002266,0.17299249591273794,-0.16248509575769382,40712
2004-07-01,15.91,0.05157592913314941,0.7368439921636846,0.8050566381409655,0.9009057834549133,0.34483583250044303,-0.05308668065258924,40712
2004-08-01,0.01,-1.6130920480039965,-0.9035927902620128,0.5286809763353915,0.5084386675189654,0.3445168281580962,-0.05301792362142974,40712
2004-09-01,0.01,-1.6130920480039965,-1.025763338745386,0.3621653677383871,0.20706659512321998,0.3445168281580966,-0.05294916735670469,40712
